PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2022,29,1.65436,1.64913,9361,8219,X,8116,3483,3432,32611,3313,1977461
National,X,2022,30,1.66503,1.64799,9153,8056,X,7859,3485,3487,32040,3289,1944189
National,X,2022,31,1.52846,1.5292,8659,7295,X,7476,3104,3107,29641,3305,1938338
National,X,2022,32,1.51766,1.51741,8329,6816,X,7813,2804,2880,28642,3198,1887562
National,X,2022,33,1.59458,1.61916,9479,6659,X,9934,2819,2681,31572,3293,1949894
National,X,2022,34,1.82581,1.81145,10792,7079,X,12593,2730,2593,35787,3280,1975601
National,X,2022,35,1.9377,1.89564,11524,6980,X,13887,2670,2452,37513,3260,1978914
National,X,2022,36,2.00147,1.94934,12548,6978,X,13475,2701,2632,38334,3290,1966513
National,X,2022,37,2.03389,1.97433,13405,6751,X,14610,2618,2454,39838,3322,2017799
National,X,2022,38,2.27821,2.19998,15939,6924,X,16713,2658,2492,44726,3334,2033022
National,X,2022,39,2.35649,2.29832,17080,6945,X,16825,2795,2676,46321,3353,2015431
National,X,2022,40,2.61257,2.59379,18503,10718,X,20141,4094,3862,57318,3684,2209814
National,X,2022,41,3.00763,2.85133,20623,11519,X,22779,4394,4073,63388,3720,2223106
National,X,2022,42,3.31975,3.31688,23713,13719,X,28368,5303,4512,75615,3726,2279700
National,X,2022,43,4.3682,4.4466,32012,19586,X,45003,7037,5858,109496,3788,2462467
National,X,2022,44,5.42144,5.54702,37474,25460,X,61015,8469,6829,139247,3776,2510305
National,X,2022,45,5.73522,5.67263,38651,26941,X,57053,9791,7619,140055,3793,2468962
National,X,2022,46,5.91793,5.73531,34849,28672,X,55229,10171,8498,137419,3777,2396019
National,X,2022,47,7.42531,7.37142,39539,36157,X,62925,13876,12439,164936,3765,2237505
National,X,2022,48,7.21822,7.24012,38495,48042,X,63623,18626,16887,185673,3767,2564503
National,X,2022,49,6.87034,6.82928,32316,40778,X,62563,16557,15034,167248,3750,2448985
National,X,2022,50,6.29772,6.46231,28976,38007,X,55613,15506,13570,151672,3751,2347026
National,X,2022,51,6.00293,6.1412,25500,34587,X,41624,14564,13703,129978,3715,2116491
National,X,2022,52,5.33838,5.46656,22891,31974,X,27251,14961,15454,112531,3703,2058533
National,X,2023,1,3.93482,4.07732,16651,27662,X,21006,13549,13166,92034,3740,2257219
National,X,2023,2,2.94564,3.05773,12231,19912,X,18061,9135,8381,67720,3737,2214718
National,X,2023,3,2.63811,2.70671,11720,15844,X,16915,7000,6291,57770,3730,2134322
National,X,2023,4,2.62522,2.67225,12170,15618,X,18680,6410,5353,58231,3716,2179097
National,X,2023,5,2.58477,2.68591,12686,15506,X,19751,6113,5270,59326,3734,2208786
National,X,2023,6,2.59148,2.70465,13271,15921,X,20964,6469,5633,62258,3735,2301891
National,X,2023,7,2.5701,2.6371,13127,15055,X,19818,6263,5402,59665,3695,2262519
National,X,2023,8,2.52707,2.58651,13478,13880,X,18410,6054,5401,57223,3719,2212367
National,X,2023,9,2.4046,2.44348,12693,13849,X,18281,5769,5090,55682,3725,2278801
National,X,2023,10,2.3571,2.40445,12840,13379,X,18388,5365,4714,54686,3722,2274369
National,X,2023,11,2.3545,2.43524,13086,13264,X,17814,5298,4801,54263,3713,2228243
National,X,2023,12,2.31096,2.41343,13043,13685,X,18685,5286,4695,55394,3665,2295244
National,X,2023,13,2.25771,2.34891,12413,13208,X,18078,5005,4638,53342,3688,2270922
National,X,2023,14,2.12953,2.20628,11586,11976,X,15673,4783,4337,48355,3680,2191695
National,X,2023,15,2.01047,2.0726,11151,11853,X,14832,4552,4337,46725,3665,2254413
National,X,2023,16,1.90776,1.95437,9912,11388,X,14788,4361,4058,44507,3680,2277306
National,X,2023,17,1.90393,1.97315,10041,11176,X,15803,4133,3649,44802,3677,2270577
National,X,2023,18,1.93608,2.0174,10013,11224,X,16115,4283,3947,45582,3652,2259439
National,X,2023,19,1.90846,1.99349,10187,11067,X,16725,4072,3718,45769,3654,2295923
National,X,2023,20,1.88236,1.96616,9740,10697,X,15517,3875,3458,43287,3653,2201602
National,X,2023,21,1.83328,1.91398,9389,10386,X,14611,3640,3490,41516,3518,2169098
National,X,2023,22,1.83857,1.93826,9568,10413,X,14220,3845,3543,41589,3601,2145684
National,X,2023,23,1.57748,1.69283,8309,9954,X,11628,3622,3426,36939,3583,2182091
National,X,2023,24,1.48614,1.57462,7741,9289,X,10223,3447,3180,33880,3589,2151633
National,X,2023,25,1.36472,1.44401,6998,8727,X,8941,3236,2987,30889,3582,2139112
National,X,2023,26,1.27095,1.32385,6388,8130,X,8012,3046,2910,28486,3539,2151758
National,X,2023,27,1.22553,1.29091,5944,7472,X,7475,2940,2817,26648,3569,2064286
National,X,2023,28,1.15793,1.20177,5608,7567,X,7043,2925,2760,25903,3542,2155400
National,X,2023,29,1.12685,1.19268,5718,7476,X,6836,2931,2841,25802,3560,2163359
National,X,2023,30,1.16805,1.23085,5812,7475,X,7046,3137,2947,26417,3551,2146245
National,X,2023,31,1.20299,1.26099,5678,7979,X,6966,3273,3000,26896,3542,2132922
National,X,2023,32,1.27357,1.35931,5982,8642,X,7764,3560,3365,29313,3521,2156467
National,X,2023,33,1.44821,1.53965,6688,9791,X,9759,3784,3641,33663,3533,2186399
National,X,2023,34,1.70391,1.8262,8234,11256,X,13151,4300,4038,40979,3524,2243946
National,X,2023,35,1.93305,1.97735,8980,11792,X,14664,4630,4345,44411,3537,2245988
National,X,2023,36,2.00204,2.0246,9546,11819,X,14159,4621,4589,44734,3538,2209523
National,X,2023,37,1.94047,1.99147,9485,11798,X,14904,4699,4401,45287,3558,2274050
National,X,2023,38,2.03761,2.13438,10912,11970,X,16162,4711,4510,48265,3558,2261308
National,X,2023,39,2.08992,2.17945,11376,12299,X,16110,4934,4550,49269,3552,2260617
National,X,2023,40,2.27908,2.26141,13519,13441,X,19001,5294,5054,56309,4103,2489991
National,X,2023,41,2.33755,2.31454,14419,13964,X,18593,5431,5096,57503,4124,2484429
National,X,2023,42,2.52242,2.51633,15704,14454,X,20290,5814,6195,62457,4105,2482069
National,X,2023,43,2.71275,2.68605,16986,15480,X,22514,6082,6712,67774,4135,2523186
National,X,2023,44,2.94538,2.91431,17793,16585,X,24797,6337,6696,72208,4126,2477704
National,X,2023,45,3.40957,3.32818,21464,19331,X,29463,7439,7761,85458,4122,2567706
National,X,2023,46,3.6903,3.5748,22031,21568,X,30863,8086,8425,90973,4129,2544844
National,X,2023,47,3.92958,3.79115,22396,20391,X,25939,8378,8418,85522,4141,2255831
National,X,2023,48,4.03334,3.96202,22638,28337,X,30346,11136,11207,103664,4111,2616442
National,X,2023,49,4.38382,4.35865,23367,29030,X,38203,12200,11369,114169,4073,2619366
National,X,2023,50,5.18426,5.21105,26102,35036,X,48365,14003,12573,136079,4093,2611355
National,X,2023,51,6.23157,6.31482,29797,45268,X,53504,18114,16627,163310,4062,2586137
National,X,2023,52,6.7962,6.90944,31368,49904,X,41682,21635,21608,166197,4043,2405363
National,X,2024,1,5.71536,5.76408,24691,47024,X,32324,20529,19382,143950,4078,2497365
National,X,2024,2,4.66576,4.7532,18090,36949,X,31314,16352,15356,118061,4064,2483819
National,X,2024,3,4.32446,4.35295,16160,30578,X,29171,12643,11559,100111,4084,2299842
National,X,2024,4,4.22972,4.22481,16238,31797,X,34392,12498,10653,105578,4110,2498999
National,X,2024,5,4.42065,4.27996,17275,30429,X,38578,11603,10061,107946,4093,2522125
National,X,2024,6,4.45705,4.40158,17971,31617,X,41796,11550,10050,112984,4095,2566895
National,X,2024,7,4.35511,4.33696,17414,30780,X,39008,11242,9969,108413,4088,2499747
National,X,2024,8,4.33545,4.32386,17611,31223,X,37089,11309,10166,107398,4073,2483847
National,X,2024,9,4.0587,4.09674,17307,30505,X,35950,11037,9901,104700,4058,2555691
National,X,2024,10,3.72797,3.74694,16504,26658,X,33084,9708,8822,94776,4077,2529424
National,X,2024,11,3.39722,3.40146,15886,23711,X,29174,8472,7746,84989,4022,2498605
National,X,2024,12,3.08528,3.15473,15075,21956,X,26537,7812,7112,78492,4069,2488074
National,X,2024,13,2.97703,3.03883,14416,21208,X,23569,7490,7100,73783,4060,2428005
National,X,2024,14,2.76586,2.83202,13933,20152,X,20521,7159,6787,68552,4049,2420608
National,X,2024,15,2.53824,2.59248,13273,18246,X,19776,6845,6383,64523,4064,2488849
National,X,2024,16,2.24747,2.29479,11850,15637,X,18343,5942,5775,57547,4046,2507721
National,X,2024,17,2.19144,2.24787,11393,14892,X,18200,5642,5291,55418,4020,2465351
National,X,2024,18,2.09931,2.14622,11132,14266,X,17618,5364,5141,53521,3976,2493729
National,X,2024,19,2.00488,2.04206,10360,13410,X,16453,5172,5018,50413,4018,2468736
National,X,2024,20,1.97657,2.03606,10406,13165,X,15797,5051,4991,49410,3967,2426743
National,X,2024,21,1.90707,1.95861,9846,12852,X,14632,5281,4962,47573,3921,2428922
National,X,2024,22,1.87651,1.92202,9662,11925,X,13377,4833,4948,44745,3907,2328017
National,X,2024,23,1.66065,1.72659,8272,11763,X,11482,4803,4905,41225,3886,2387650
National,X,2024,24,1.58178,1.60594,7428,10852,X,10240,4591,4638,37749,3883,2350585
National,X,2024,25,1.49244,1.54276,6737,10989,X,9063,4334,4687,35810,3881,2321170
National,X,2024,26,1.4663,1.49763,6270,10632,X,9104,4530,4688,35224,3823,2351985
National,X,2024,27,1.37639,1.44721,5818,9483,X,8091,4037,4701,32130,3865,2220134
National,X,2024,28,1.45548,1.44812,6105,10810,X,8834,4636,4632,35017,3852,2418108
National,X,2024,29,1.45233,1.43633,5708,10232,X,8308,4481,4628,33357,3798,2322374
National,X,2024,30,1.52211,1.50432,6025,10737,X,8686,4552,4816,34816,3879,2314401
National,X,2024,31,1.53543,1.4951,6014,10829,X,8946,4451,4779,35019,3889,2342255
National,X,2024,32,1.53984,1.50508,6283,10776,X,9107,4309,4610,35085,3878,2331105
National,X,2024,33,1.56577,1.56538,6611,10927,X,10514,4425,4572,37049,3888,2366776
National,X,2024,34,1.76988,1.76294,7612,11679,X,13436,4542,4570,41839,3890,2373251
National,X,2024,35,1.93414,1.88944,8436,12221,X,15731,4555,4733,45676,3890,2417432
National,X,2024,36,1.9202,1.90808,8653,12074,X,14746,4689,4578,44740,3898,2344763
National,X,2024,37,1.95528,1.90654,8863,12549,X,15823,4677,4742,46654,3844,2447051
National,X,2024,38,1.95303,1.94807,9493,12319,X,17190,4737,4765,48504,3902,2489845
National,X,2024,39,1.93495,1.93698,9467,12155,X,16115,4627,4482,46846,3877,2418511
National,X,2024,40,1.90515,1.84854,10165,12448,X,17720,4647,4696,49676,4252,2687308
National,X,2024,41,2.02014,1.94416,10726,12821,X,18612,4827,4670,51656,4271,2656989
National,X,2024,42,2.07037,2.00964,11015,13399,X,19379,4897,4771,53461,4267,2660225
National,X,2024,43,2.22044,2.15518,12585,14378,X,22748,5110,4993,59814,4269,2775354
National,X,2024,44,2.31725,2.23339,13397,15153,X,22160,5330,5036,61076,4211,2734678
National,X,2024,45,2.4719,2.38624,15050,16209,X,23541,5788,5395,65983,4258,2765142
National,X,2024,46,2.6917,2.57543,16289,16715,X,24586,6144,5559,69293,4273,2690545
National,X,2024,47,2.88949,2.78848,18034,18031,X,27250,6684,5863,75862,4237,2720548
National,X,2024,48,3.18283,3.12363,19868,17397,X,23723,6559,6396,73943,4252,2367211
National,X,2024,49,3.318,3.24407,19972,22750,X,27032,8830,8853,87437,4252,2695286
National,X,2024,50,3.78793,3.6863,22152,25094,X,33756,9921,9835,100758,4251,2733307
National,X,2024,51,4.94489,4.80631,28860,33712,X,45537,12696,12207,133012,4221,2767445
National,X,2024,52,6.74349,6.66381,37435,44780,X,48174,18423,18599,167411,4217,2512241
National,X,2025,1,6.25398,6.16668,33451,48596,X,37513,21824,23074,164458,4247,2666881
National,X,2025,2,5.30512,5.29401,23592,42897,X,35821,19312,17872,139494,4243,2634939
National,X,2025,3,5.74558,5.69117,26014,44103,X,50231,19130,17251,156729,4258,2753898
National,X,2025,4,6.98693,6.85658,30197,51025,X,59340,21132,18010,179704,4263,2620898
National,X,2025,5,7.79904,7.42564,32917,59976,X,72394,26106,23225,214618,4260,2890229
National,X,2025,6,7.84378,7.70557,35164,59740,X,76137,26664,24947,222652,4250,2889494
National,X,2025,7,6.93692,7.05953,29512,52696,X,62336,24317,23946,192807,4258,2731160
National,X,2025,8,5.90072,6.01799,24727,44764,X,46519,20323,20475,156808,4245,2605653
National,X,2025,9,4.87406,4.83865,20599,37605,X,39077,17523,18295,133099,4242,2750746
National,X,2025,10,4.26679,4.26517,18328,31463,X,35647,14139,14539,114116,4237,2675535
National,X,2025,11,3.81006,3.86406,17084,28417,X,32943,12435,12617,103496,4218,2678425
National,X,2025,12,3.25232,3.30602,15049,24061,X,28068,9986,10404,87568,4204,2648741
National,X,2025,13,2.89999,2.95371,13724,21395,X,25244,8344,8443,77150,4214,2611965
National,X,2025,14,2.56142,2.59783,12006,18536,X,21715,7274,7129,66660,4199,2565984
National,X,2025,15,2.41001,2.37447,11713,16617,X,19889,6434,6385,61038,4211,2570597
National,X,2025,16,2.26907,2.21028,11244,15597,X,17804,5951,6137,56733,4200,2566784
National,X,2025,17,2.16609,2.09415,11075,15191,X,16556,5780,6068,54670,4194,2610608
National,X,2025,18,1.99847,1.94426,10308,13307,X,15626,5187,5590,50018,4141,2572600
National,X,2025,19,1.89628,1.83378,9846,12410,X,14998,4982,5217,47453,4166,2587717
National,X,2025,20,1.86362,1.79185,10008,12011,X,14655,4824,4984,46482,4152,2594072
National,X,2025,21,1.81452,1.75407,9721,11746,X,13736,4728,4980,44911,4116,2560391
National,X,2025,22,1.82848,1.76618,9650,11635,X,12226,4741,5026,43278,4122,2450379
National,X,2025,23,1.60298,1.55989,8223,11089,X,10157,4565,4936,38970,3998,2498253
National,X,2025,24,1.4048,1.38371,7505,9738,X,8516,4180,4395,34334,4103,2481307
National,X,2025,25,1.31933,1.28319,6472,9067,X,7609,3920,4319,31387,4099,2446010
National,X,2025,26,1.17791,1.16189,5977,8278,X,6912,3663,3934,28764,4089,2475613
National,X,2025,27,1.10483,1.08488,5109,7365,X,6173,3197,3611,25455,4086,2346349
National,X,2025,28,1.15324,1.05419,5071,7904,X,6338,3298,3661,26272,4037,2492152
National,X,2025,29,1.05532,1.00911,4495,7489,X,5927,3252,3532,24695,4037,2447212
National,X,2025,30,1.03084,1.00283,4647,7822,X,6095,3121,3358,25043,4056,2497232
National,X,2025,31,1.05587,1.01944,4529,7816,X,6130,3182,3440,25097,3991,2461852
National,X,2025,32,1.14899,1.10167,4826,8490,X,6738,3436,3693,27183,4058,2467428
National,X,2025,33,1.21036,1.1551,4945,8962,X,7788,3625,3758,29078,3986,2517355
National,X,2025,34,1.443,1.41465,5908,10083,X,10521,3859,3985,34356,3961,2428586
National,X,2025,35,1.78127,1.65885,6858,11664,X,13204,4424,4519,40669,3886,2451641
National,X,2025,36,1.78106,1.68873,7221,12029,X,12475,4657,4819,41201,3950,2439763
National,X,2025,37,1.73451,1.65694,7014,11992,X,12618,4662,4795,41081,3907,2479323
National,X,2025,38,1.67932,1.61115,7384,11362,X,12617,4398,4641,40402,3893,2507657
