"State","County","Date Collected","Date Detected","HPAI Strain","Species"
"Oregon","Linn","12/27/2022","1/3/2023","EA/AM H5N1","Domestic cat"
"Oregon","Curry","12/19/2022","1/3/2023","EA H5N1","Raccoon"
"Nebraska","Lancaster1","12/21/2022","1/3/2023","EA/AM H5N1","Amur tiger"
"Nebraska","Lancaster1","12/21/2022","1/3/2023","EA/AM H5N1","Mountain lion (captive)"
"Oregon","Linn","12/19/2022","12/23/2022","EA/AM H5N1","Domestic cat"
"Montana","Cascade","12/16/2022","12/20/2022","EA H5N1","Striped skunk"
"Montana","Flathead","12/16/2022","12/20/2022","EA/AM H5N1","Grizzly bear"
"Nebraska","Lancaster","4/20/2022","12/16/2022","EA/AM H5N1","Grizzly bear"
"Washington","Island","12/7/2022","12/16/2022","EA H5N1","Raccoon"
"Oregon","Columbia","11/28/2022","12/8/2022","EA/AM H5N1","Skunk (unidentified)"
"Oregon","Columbia","11/28/2022","12/8/2022","EA/AM H5N1","Skunk (unidentified)"
"Oregon","Columbia","11/28/2022","12/8/2022","EA/AM H5N1","Skunk (unidentified)"
"Oregon","Columbia","11/28/2022","12/8/2022","EA/AM H5N1","Skunk (unidentified)"
"Montana","Teton","10/31/2022","12/6/2022","EA/AM H5N1","Grizzly bear"
"Alaska","Kodiak Island","11/29/2022","12/6/2022","EA H5N1","Kodiak bear"
"Montana","Madison","11/22/2022","12/2/2022","EA H5N1","Red fox"
"Idaho","Jefferson","11/4/2022","11/21/2022","EA H5N1","Striped skunk"
"Idaho","Jefferson","11/4/2022","11/21/2022","EA H5N1","Striped skunk"
"Idaho","Jefferson","11/4/2022","11/21/2022","EA H5N1","Striped skunk"
"Wisconsin","Douglas","11/15/2022","11/21/2022","EA/AM H5N1","Striped skunk"
"Wisconsin","Douglas","11/15/2022","11/21/2022","EA/AM H5N1","Striped skunk"
"Alaska","Hoonah-Angoon","10/20/2022","11/16/2022","EA/AM H5N1","American black bear"
"Colorado","Weld","10/17/2022","11/10/2022","EA H5N1","Striped skunk"
"Minnesota","Itasca","10/21/2022","11/3/2022","EA/AM H5N1","Striped skunk"
"Montana","Gallatin","10/20/2022","10/28/2022","EA H5N1","Skunk (unidentified)"
"New York","Tompkins","10/20/2022","10/27/2022","EA H5N1","Red fox"
"Illinois","Cook","10/4/2022","10/26/2022","EA/AM H5N1","Virginia opossum"
"New York","Cayuga","9/19/2022","10/6/2022","EA/AM H5N1","Red fox"
"New York","Cayuga","9/19/2022","10/6/2022","EA/AM H5N1","Red fox"
"New York","Cayuga","9/19/2022","10/6/2022","EA/AM H5N1","Red fox"
"New York","Cayuga","9/19/2022","10/6/2022","EA/AM H5N1","Red fox"
"New York","Albany1","9/17/2022","9/27/2022","EA H5N1","Amur Leopard"
"Florida","Dixie","3/30/2022","8/17/2022","EA/AM H5N1","Bottlenose dolphin"
"Maine","York","7/13/2022","8/15/2022","EA H5N1","Harbor seal"
"Idaho","Ada","7/22/2022","8/3/2022","EA H5N1","Skunk (unidentified)"
"Maine","Sagadahoc","7/5/2022","7/25/2022","EA H5N1","Harbor seal"
"Maine","Cumberland","7/7/2022","7/25/2022","EA H5N1","Harbor seal"
"Maine","Cumberland","7/8/2022","7/25/2022","EA H5N1","Harbor seal"
"Maine","York","7/9/2022","7/25/2022","EA H5N1","Harbor seal"
"Maine","Cumberland","7/9/2022","7/25/2022","EA H5N1","Harbor seal"
"Maine","York","7/10/2022","7/25/2022","EA H5N1","Harbor seal"
"Michigan","Bay","5/15/2022","7/18/2022","EA H5N1","Red fox"
"Maine","Cumberland","6/28/2022","7/11/2022","EA H5N1","Harbor seal"
"Maine","Cumberland","6/29/2022","7/11/2022","EA H5N1","Harbor seal"
"Maine","Sagadahoc","7/1/2022","7/11/2022","EA H5N1","Grey seal"
"Maine","Cumberland","7/1/2022","7/11/2022","EA H5N1","Harbor seal"
"Maine","Lincoln","7/2/2022","7/11/2022","EA H5N1","Harbor seal"
"Maine","Cumberland","7/2/2022","7/11/2022","EA H5N1","Harbor seal"
"Alaska","Nome Census Area","6/13/2022","7/7/2022","EA/AM H5N1","Red fox"
"Washington","Stevens","6/29/2022","7/6/2022","EA/AM H5N1","Raccoon"
"Maine","York","6/22/2022","7/1/2022","EA H5N1","Harbor seal"
"Maine","Cumberland","6/24/2022","7/1/2022","EA H5N1","Harbor seal"
"Maine","Sagadahoc","6/26/2022","7/1/2022","EA H5N1","Harbor seal"
"Maine","Lincoln","6/27/2022","7/1/2022","EA H5N1","Harbor seal"
"Wisconsin","St Croix","4/14/2022","6/29/2022","EA H5N1","Fisher"
"Utah","Salt Lake","5/24/2022","6/28/2022","EA/AM H5N1","Red fox"
"Michigan","Chippewa","5/31/2022","6/24/2022","EA H5N1","Red fox"
"Michigan","Iron","6/20/2022","6/24/2022","EA H5N1","Raccoon"
"Idaho","Adams","6/7/2022","6/22/2022","EA H5N1","Striped skunk"
"Idaho","Adams","6/7/2022","6/22/2022","EA H5N1","Striped skunk"
"Idaho","Latah","6/5/2022","6/21/2022","EA H5N1","Striped skunk"
"Michigan","Wexford","5/3/2022","6/17/2022","EA H5N1","Coyote"
"Michigan","Gladwin","5/14/2022","6/17/2022","EA H5N1","Red fox"
"Michigan","Bay","5/18/2022","6/17/2022","EA H5N1","Red fox"
"Michigan","Muskegon","6/1/2022","6/17/2022","EA H5N1","Red fox"
"Washington","Franklin","6/6/2022","6/14/2022","EA H5N1","Raccoon"
"Washington","Franklin","6/6/2022","6/14/2022","EA H5N1","Raccoon"
"Washington","Franklin","6/6/2022","6/14/2022","EA H5N1","Raccoon"
"Washington","Franklin","6/6/2022","6/14/2022","EA H5N1","Raccoon"
"Michigan","Osceola","5/5/2022","6/9/2022","EA H5N1","Red fox"
"Michigan","Midland","5/10/2022","6/9/2022","EA H5N1","Red fox"
"Michigan","Midland","5/10/2022","6/9/2022","EA H5N1","Red fox"
"Michigan","Otsego","5/18/2022","6/9/2022","EA H5N1","Red fox"
"North Dakota","Burleigh","5/18/2022","6/8/2022","EA H5N1","Red fox"
"Utah","Salt Lake","5/26/2022","6/8/2022","EA H5N1","Red fox"
"Michigan","Osceola","5/19/2022","6/7/2022","EA H5N1","Red fox"
"Minnesota","Scott","5/29/2022","6/3/2022","EA H5N1","Red fox"
"North Dakota","Dickey","5/23/2022","6/2/2022","EA/AM H5N1","Red fox"
"North Dakota","Dickey","5/23/2022","6/2/2022","EA/AM H5N1","Red fox"
"Iowa","Buchanan","5/20/2022","5/31/2022","EA H5N1","Virginia opossum"
"Iowa","Buchanan","5/20/2022","5/31/2022","EA H5N1","Virginia opossum"
"Minnesota","Stearns","5/10/2022","5/27/2022","EA H5N1","Red fox"
"Minnesota","Itasca","5/13/2022","5/27/2022","EA H5N1","Red fox"
"New York","Erie","5/20/2022","5/27/2022","EA H5N1","Red fox"
"Alaska","Aleutians West","5/10/2022","5/25/2022","EA H5N1","Red fox"
"Wisconsin","Lincoln","4/24/2022","5/24/2022","EA H5N1","Bobcat"
"Wisconsin","Lincoln","5/5/2022","5/24/2022","EA H5N1","Bobcat"
"New York","Niagara","5/10/2022","5/19/2022","EA H5N1","Red fox"
"Iowa","Cedar","5/11/2022","5/18/2022","EA H5N1","Red fox"
"New York","Tompkins","4/11/2022","5/16/2022","EA H5N1","Red fox"
"New York","St Lawrence","4/15/2022","5/16/2022","EA H5N1","Red fox"
"New York","St. Lawrence","4/15/2022","5/16/2022","EA H5N1","Red fox"
"New York","Erie","4/27/2022","5/16/2022","EA H5N1","Red fox"
"New York","Erie","4/27/2022","5/16/2022","EA H5N1","Red fox"
"Wisconsin","Jefferson","4/11/2022","5/13/2022","EA H5N1","Red fox"
"Wisconsin","Dane","4/12/2022","5/13/2022","EA H5N1","Red fox"
"Wisconsin","Rock","4/19/2022","5/13/2022","EA H5N1","Red fox"
"Wisconsin","Adams","5/3/2022","5/13/2022","EA H5N1","Red fox"
"Wisconsin","Adams","5/3/2022","5/13/2022","EA H5N1","Red fox"
"Wisconsin","Grant","5/6/2022","5/13/2022","EA H5N1","Red fox"
"Wisconsin","Grant","5/6/2022","5/13/2022","EA H5N1","Red fox"
"Minnesota","Hennepin","5/10/2022","5/12/2022","EA H5N1","Red fox"
"Minnesota","Dakota","5/10/2022","5/12/2022","EA H5N1","Red fox"
"Minnesota","Washington","5/10/2022","5/12/2022","EA H5N1","Red fox"
"Minnesota","Hennepin","5/10/2022","5/12/2022","EA H5N1","Red fox"
"Michigan","Macomb","4/1/2022","5/11/2022","EA H5N1","Red fox"
"Michigan","Macomb","4/1/2022","5/11/2022","EA H5N1","Red fox"
"Michigan","St Clair","4/13/2022","5/11/2022","EA H5N1","Red fox"
"Michigan","Lapeer","4/14/2022","5/11/2022","EA H5N1","Red fox"
"Iowa","Hancock","5/6/2022","5/11/2022","EA/AM H5N1","Red fox"
"Minnesota","Anoka","4/22/2022","5/10/2022","EA H5N1","Red fox"
"Wisconsin","Jefferson","4/9/2022","5/6/2022","EA H5N1","Red fox"
"Wisconsin","Jefferson","4/9/2022","5/6/2022","EA H5N1","Red fox"
"Wisconsin","Dane","5/5/2022","5/6/2022","EA H5N1","Red fox"
"Wisconsin","Rock","4/19/2022","5/5/2022","EA H5N1","Red fox"
"Wisconsin","Waushara","4/24/2022","5/5/2022","EA H5N1","Red fox"

